product_name,product_class
Aggrakine,Antiseptics
Amphesirox,Antiseptics
Insozyme,Antiseptics
Sucprine Specbalamin,Antiseptics
Novakyn Tracprox,Antiseptics
Travoloride,Antiseptics
Kinerinex,Antiseptics
Diprotaine,Antiseptics
Atrabicin Alkerotec,Antiseptics
Adalatamine,Antiseptics
Ultrimax Ultriset,Antiseptics
Diaxolol,Antiseptics
Cricane Acamsumab,Antiseptics
Dantocept Ferurenone,Antiseptics
Zithrotrol,Antiseptics
Menogine,Antiseptics
Panpion,Antiseptics
Benzoprox,Antiseptics
Adriafinil Ehtymara,Antiseptics
Apromin,Antiseptics
Alisteride Pemidizem,Antiseptics
Interfeferon Aspipex,Antiseptics
Quiniprosyn,Antiseptics
Ibruferon,Antiseptics
Pulmogen Alitora,Antiseptics
Ceretosine,Antiseptics
Ciclonazol,Antiseptics
Docstryl Rivacin,Antiseptics
Ganineva Agenium,Antiseptics
Biotasol Siloderm,Antiseptics
Androporin,Antiseptics
Abranatal Lysoprosate,Antiseptics
Diprolimus,Antiseptics
Choriogestrel,Antiseptics
Quixitriptan Alanesin,Antiseptics
Proderal,Antiseptics
Zonitonin,Antiseptics
Enzastryl,Antiseptics
Abtasol,Antiseptics
Lansostral Acgestin,Antiseptics
Duraprazole Agalsixolol,Antiseptics
Malaxolol Aeroprosyn,Antiseptics
Magnemunex,Antiseptics
Effidomide Evofribrate,Antiseptics
Albudazole Erobloc,Antiseptics
Topipizole,Mood Stabilizers
Liomulin,Mood Stabilizers
Veratorol Ciclovatol,Mood Stabilizers
Factofribrate,Mood Stabilizers
Lovavatol Azelavarix,Mood Stabilizers
Raparidol,Mood Stabilizers
Rositroban,Mood Stabilizers
Trazobalamin,Mood Stabilizers
Trazozaprine,Mood Stabilizers
Topitaine,Mood Stabilizers
Pazofenac,Mood Stabilizers
Dexmeprazole Transnuvia,Mood Stabilizers
Alarudin Azarolac,Mood Stabilizers
Exexone,Mood Stabilizers
Propralamide Dexlanzolam,Mood Stabilizers
Adideine,Mood Stabilizers
Testant,Mood Stabilizers
Hemavate Spirolinum,Mood Stabilizers
Malavirine Alimdine,Mood Stabilizers
Symbisine Prednimadin,Mood Stabilizers
Invisteride Diclomycin,Mood Stabilizers
Clinolan Pitoletra,Mood Stabilizers
Rebedase Aplencor,Mood Stabilizers
Palodizem,Mood Stabilizers
Acycpex,Mood Stabilizers
Morphizolid Tianalin,Mood Stabilizers
Agalsiline,Mood Stabilizers
Antaparin Varizyme,Mood Stabilizers
Ergomethate,Mood Stabilizers
Hepavice,Mood Stabilizers
Afretosine,Mood Stabilizers
Spiroderall,Mood Stabilizers
Lovapur,Mood Stabilizers
Solasteride,Mood Stabilizers
Xenaderal,Mood Stabilizers
Primatate Univatol,Mood Stabilizers
Exotropin Empizine,Mood Stabilizers
Lacoplex Hyaluvance,Mood Stabilizers
Angioparin Brimosumab,Mood Stabilizers
Cephovelam,Mood Stabilizers
Acycnafine Microvate,Mood Stabilizers
Adriacaine,Mood Stabilizers
Feruprazole,Mood Stabilizers
Presetron,Mood Stabilizers
